setting,dataset,num_samples,num_components,random_seed,skellam_mu,sigma,b,clipping_norm,q_f,q_clean,q_a
local,ca_income,195665,10,0,7,13.285,6,1.0,0.01262318637123164,0.10306451053062196,0.013113894716956988
local,ca_income,195665,25,0,7,13.285,6,1.0,0.030574024192389145,0.20037047667357455,0.013113894716956988
fl,iris,150,10,0,382.3,10000,6.0,1.0,0.9338856190443046,0.9338856190443038,0.9998669906809523
fl,iris,150,25,0,382.3,10000,6.0,1.0,0.9338856190443046,0.9338856190443038,0.9998669906809523
fl,iris,150,50,0,382.3,10000,6.0,1.0,0.9338856190443046,0.9338856190443038,0.9998669906809523
fl,iris,150,100,0,382.3,10000,6.0,1.0,0.9338856190443046,0.9338856190443038,0.9998669906809523
fl,iris,150,125,0,382.3,10000,6.0,1.0,0.9338856190443046,0.9338856190443038,0.9998669906809523
fl,iris,150,250,0,382.3,10000,6.0,1.0,0.9338856190443046,0.9338856190443038,0.9998669906809523
fl,iris,150,500,0,382.3,10000,6.0,1.0,0.9338856190443046,0.9338856190443038,0.9998669906809523
fl,iris,150,1000,0,382.3,10000,6.0,1.0,0.9338856190443046,0.9338856190443038,0.9998669906809523
local,ca_income,195665,50,0,7,13.285,6,1.0,0.06083195528857641,0.3165350864583766,0.013113894716956988
fl,ca_income,195665,10,0,106.1,10000,6.0,1.0,0.10308685358781407,0.10306451053062196,0.9997211202535148
local,ca_income,195665,100,0,7,13.285,6,1.0,0.12182677904189008,0.48630057394686166,0.013113894716956988
fl,iris,150,10,0,106.1,10000,6.0,1.0,0.9338856190443048,0.9338856190443038,0.9998673506447238
fl,iris,150,25,0,106.1,10000,6.0,1.0,0.9338856190443048,0.9338856190443038,0.9998673506447238
fl,iris,150,50,0,106.1,10000,6.0,1.0,0.9338856190443048,0.9338856190443038,0.9998673506447238
fl,iris,150,100,0,106.1,10000,6.0,1.0,0.9338856190443048,0.9338856190443038,0.9998673506447238
fl,iris,150,125,0,106.1,10000,6.0,1.0,0.9338856190443048,0.9338856190443038,0.9998673506447238
fl,iris,150,250,0,106.1,10000,6.0,1.0,0.9338856190443048,0.9338856190443038,0.9998673506447238
fl,iris,150,500,0,106.1,10000,6.0,1.0,0.9338856190443048,0.9338856190443038,0.9998673506447238
fl,iris,150,1000,0,106.1,10000,6.0,1.0,0.9338856190443048,0.9338856190443038,0.9998673506447238
fl,ca_income,195665,25,0,106.1,10000,6.0,1.0,0.20038903534195998,0.20037047667357455,0.9997211202535148
local,ca_income,195665,125,0,7,13.285,6,1.0,0.1522613715487737,0.5541624613800046,0.013113894716956988
fl,ca_income,195665,50,0,106.1,10000,6.0,1.0,0.31653724197432925,0.3165350864583766,0.9997211202535148
local,ca_income,195665,250,0,7,13.285,6,1.0,0.30723087546300715,0.7723074729978476,0.013113894716956988
fl,iris,150,10,0,29.4,10000,6.0,1.0,0.933885619044303,0.9338856190443038,0.9998652852832496
fl,iris,150,25,0,29.4,10000,6.0,1.0,0.933885619044303,0.9338856190443038,0.9998652852832496
fl,iris,150,50,0,29.4,10000,6.0,1.0,0.933885619044303,0.9338856190443038,0.9998652852832496
fl,iris,150,100,0,29.4,10000,6.0,1.0,0.933885619044303,0.9338856190443038,0.9998652852832496
fl,iris,150,125,0,29.4,10000,6.0,1.0,0.933885619044303,0.9338856190443038,0.9998652852832496
